"University","IndexVal","SchoolID","Reason"
"St. Joseph's College - Long Island Campus","12","17","Not Applicable"
"St. Francis College","19","24","Not Applicable"
"St. Joseph's College - Brooklyn Campus","27","33","Not Applicable"
"State University of New York Upstate Medical University","113","120","Not Applicable"
"Boricua College","133","140","Not Applicable"
"Thomas Jefferson University","138","145","Not Applicable"
"United States Coast Guard Academy","151","159","Not Applicable"
"United States Merchant Marine Academy","154","164","Not Applicable"
"United States Military Academy","155","165","Not Applicable"
"School of Visual Arts","175","188","Not Applicable"
"University of Massachusetts Boston","183","197","Not Applicable"
"Ohio State Universitiy at Lima","241","261","Not Applicable"
"Ohio State Universitity at Marion","243","263","Not Applicable"
"Clarkson College","245","266","Not Applicable"
"University of Maine at Augusta","250","271","Not Applicable"
"American University of Puerto Rico","253","276","Not Applicable"
"Inter American University of Puerto Rico - San German Campus","254","277","Not Applicable"
"University of Puerto Rico at Humacao","255","278","Not Applicable"
"Polytechnic University of Puerto Rico","256","279","Not Applicable"
"Heritage University","260","284","Not Applicable"
"Bayamon Central University","261","286","Not Applicable"
"University of Phoenix","264","289","Not Applicable"
"Pacific Oaks College","265","290","Not Applicable"
"East-West University","266","291","Not Applicable"
"Calumet College of St. Joseph","285","312","Not Applicable"
"DeVry University - Chicago","325","354","Not Applicable"
"DeVry University - Columbus","326","357","Not Applicable"
"Indiana University Kokomo","336","369","Not Applicable"
"Kendall College","337","370","Not Applicable"
"Metropolitan State University","344","377","Not Applicable"
"John Jay College of Criminal Justice","368","402","Not Applicable"
"City College of New York","371","405","Not Applicable"
"Indiana University - Purdue University Fort Wayne","388","422","Not Applicable"
"Medgar Evers College (City University of New York)","414","448","Not Applicable"
"Art Academy of Cincinnati","430","464","Not Applicable"
"University of Baltimore","457","493","Not Applicable"
"Bluefield State College","474","510","Not Applicable"
"University of New Hampshire at Manchester","481","517","Not Applicable"
"Southeastern Baptist Theological Seminary","482","518","Not Applicable"
"Mt. Sierra College","483","520","Not Applicable"
"Paier College of Art","485","524","Not Applicable"
"Schiller International University","486","525","Not Applicable"
"South University - Savannah","489","528","Not Applicable"
"Charles R. Drew University of Medicine and Science","490","531","Not Applicable"
